"titre";"url";"Jeu par défaut";"PQN française";"PQR française";"Agence de presse";"Presse magazine";"Actualité nationale";"Actualité politique, débats et dossiers";"Actualité internationale";"Actualité économique et finance";"Actualité sciences, culture, arts et média";"Actualité énergie et environnement";"Actualité numérique";"Actualité sports";"Actualité Style, déco, famille et mode de vie";"Actualité argent et placements";"Actualité Justice, insolite, vidéos et faits-divers";"Actualité vie quotidienne, santé et auto-moto";"Actualité locale et sorties";"Actualité éducation, études formation et emploi";"Communauté du renseignement économique"
"Lesechos.fr - Le Journal du jour";"https://www.lesechos.fr/rss/rss_articles_journal.xml";"oui";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - A la Une des Echos.fr";"https://www.lesechos.fr/rss/rss_une_titres.xml";"oui";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Politique";"https://syndication.lesechos.fr/rss/rss_politique_societe.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Economie";"https://syndication.lesechos.fr/rss/rss_france.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Monde";"https://syndication.lesechos.fr/rss/Echos_monde.xml";"oui";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Tech-Medias";"https://syndication.lesechos.fr/rss/rss_tech_medias.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Industrie Service";"https://syndication.lesechos.fr/rss/rss_industries_services.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Finance Marché";"https://syndication.lesechos.fr/rss/rss_finance-marches.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - PME-Régions";"https://syndication.lesechos.fr/rss/rss_pme-innovation.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Idées";"https://syndication.lesechos.fr/rss/rss_idee.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Patrimoine";"https://syndication.lesechos.fr/rss/rss_echos-patrimoine.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Sport";"https://syndication.lesechos.fr/rss/rss_sports.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Automobile";"https://syndication.lesechos.fr/rss/rss_automobile.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"oui";"non";"non";"non"
"Lesechos.fr - Tourisme - Transport";"https://syndication.lesechos.fr/rss/rss_transports.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Aéronautique - Défense";"https://syndication.lesechos.fr/rss/rss_aero.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Conso - Distribution";"https://syndication.lesechos.fr/rss/rss_conso.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Mode - Luxe";"https://syndication.lesechos.fr/rss/rss_mode_luxe.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Energie - Environnement";"https://syndication.lesechos.fr/rss/rss_energie-environnement.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Pharmacie - Santé";"https://syndication.lesechos.fr/rss/rss_sante.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Services - Conseil";"https://syndication.lesechos.fr/rss/rss_service.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Immobilier - BTP";"https://syndication.lesechos.fr/rss/rss_immobilier_btp.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Industrie Lourde";"https://syndication.lesechos.fr/rss/rss_industrie.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Le Cercle Les Echos";"https://syndication.lesechos.fr/rss/rss_lecercle.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Les Blogs";"https://syndication.lesechos.fr/rss/rss_blogs.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Editos et Analyses";"https://syndication.lesechos.fr/rss/rss_editos_analyses.xml";"oui";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Les vidéos des Echos";"https://syndication.lesechos.fr/rss/rss_videos_lesechos.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"Lesechos.fr - Les + lus";"https://syndication.lesechos.fr/rss/rss_plus_consultes.xml";"oui";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - La Une des Echos Week-End";"https://syndication.lesechos.fr/rss/rss_lesechos_week_end.xml";"oui";"oui";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Les articles de Série Limitée";"https://syndication.lesechos.fr/rss/rss_serie_limitee.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Une des Echos Business";"https://business.lesechos.fr/rss/rss_une.xml";"oui";"oui";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Direction Générale";"https://business.lesechos.fr/rss/dg.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - DRH";"https://business.lesechos.fr/rss/drh.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - DAF";"https://business.lesechos.fr/rss/daf.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Direction Maketing";"https://business.lesechos.fr/rss/dm.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Direction Numérique";"https://business.lesechos.fr/rss/dn.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Entrepreneurs";"https://business.lesechos.fr/rss/entrepreneur.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Infos des Marchés";"https://investir.lesechos.fr/RSS/info-marches-investir-bourse-les-echos.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Analyses et Opinions";"https://investir.lesechos.fr/RSS/analyses-opinions.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Les ch@ts de la rédaction d'investir";"https://investir.lesechos.fr/RSS/chat-investir.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - L'info des matières premières";"https://investir.lesechos.fr/RSS/matieres-premieres.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Analyses de séance";"https://investir.lesechos.fr/RSS/analyse-seance-paris-new-york-tokyo.xml";"oui";"oui";"non";"non";"non";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - A ne pas manquer demain";"https://investir.lesechos.fr/RSS/ne-pas-manquer-demain.xml";"oui";"oui";"non";"non";"non";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Lesechos.fr - Info valeurs";"https://investir.lesechos.fr/RSS/info-valeurs-investir-bourse-les-echos.xml";"oui";"oui";"non";"non";"non";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Conseils et avis d'experts";"https://investir.lesechos.fr/RSS/conseils-avis-experts.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Conseils du jour";"https://investir.lesechos.fr/RSS/conseils-jour.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Recos des analystes";"https://investir.lesechos.fr/RSS/recos-analystes.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Rumeurs";"https://investir.lesechos.fr/RSS/rumeurs.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - Conseils warrants";"https://investir.lesechos.fr/RSS/warrants-conseils.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Lesechos.fr - A la Une des Echos START";"https://start.lesechos.fr/rss/rss_une.xml";"oui";"oui";"non";"non";"non";"oui";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Investir.lesechos.fr - A la une";"https://investir.lesechos.fr/RSS/investir-bourse-les-echos.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non"
"Leparisien.fr - Toute l’actualité";"http://www.leparisien.fr/actualites-a-la-une.rss.xml";"oui";"oui";"non";"non";"non";"oui";"oui";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - À la une";"http://www.leparisien.fr/une/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Politique";"http://www.leparisien.fr/politique/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Faits divers";"http://www.leparisien.fr/faits-divers/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"Leparisien.fr - Économie";"http://www.leparisien.fr/economie/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Société";"http://www.leparisien.fr/societe/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Loisirs & Spectacles";"http://www.leparisien.fr/loisirs-et-spectacles/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Médias & People";"http://www.leparisien.fr/actualite-people-medias/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - International";"http://www.leparisien.fr/international/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"oui";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Automobile";"http://www.leparisien.fr/automobile/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Environnement";"http://www.leparisien.fr/environnement/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - High-Tech";"http://www.leparisien.fr/high-tech/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Voyages";"http://www.leparisien.fr/voyages/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Paris";"http://www.leparisien.fr/paris-75/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Oise";"http://www.leparisien.fr/oise-60/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Hauts-de-Seine";"http://www.leparisien.fr/hauts-de-seine-92/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Seine-Saint-Denis";"http://www.leparisien.fr/seine-saint-denis-93/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Val-de-Marne";"http://www.leparisien.fr/val-de-marne-94/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Essonne";"http://www.leparisien.fr/essonne-91/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Yvelines";"http://www.leparisien.fr/yvelines-78/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Seine-et-Marne";"http://www.leparisien.fr/seine-et-marne-77/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Val-d'Oise";"http://www.leparisien.fr/val-d-oise-95/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Transports en Ile-de-France";"http://www.leparisien.fr/transports/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Bas-Rhin";"http://www.leparisien.fr/bas-rhin-67/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Bouches-du-Rhône";"http://www.leparisien.fr/bouches-du-rhone-13/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Gironde";"http://www.leparisien.fr/gironde-33/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Haute-Garonne";"http://www.leparisien.fr/haute-garonne-31/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Hérault";"http://www.leparisien.fr/herault-34/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Loire-Atlantique";"http://www.leparisien.fr/loire-atlantique-44/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Loiret";"http://www.leparisien.fr/loiret-45/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Marne";"http://www.leparisien.fr/marne-51/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Nord";"http://www.leparisien.fr/nord-59/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Puy-de-Dôme";"http://www.leparisien.fr/puy-de-dome-63/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Rhône";"http://www.leparisien.fr/rhone-69/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Seine-Maritime";"http://www.leparisien.fr/seine-maritime-76/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Toute l'actualité sportive";"http://www.leparisien.fr/sports/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - PSG Foot";"http://www.leparisien.fr/psg-foot-paris-saint-germain/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Football";"http://www.leparisien.fr/sports/football/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Les Bleus";"http://www.leparisien.fr/sports/equipe-france-football/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Sports Ile-de-France";"http://www.leparisien.fr/sports/iledefrance/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"oui";"non";"non"
"Leparisien.fr - Formule 1";"http://www.leparisien.fr/sports/formule-1/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Rugby";"http://www.leparisien.fr/sports/rugby/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Hippisme";"http://www.leparisien.fr/hippisme/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Autres sports";"http://www.leparisien.fr/sports/autres/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - À la une";"http://www.leparisien.fr/laparisienne/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Beauté";"http://www.leparisien.fr/laparisienne/beaute/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Mode";"http://www.leparisien.fr/laparisienne/mode/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Joaillerie";"http://www.leparisien.fr/laparisienne/mode/bijoux-joaillerie/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Santé";"http://www.leparisien.fr/laparisienne/sante/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - People";"http://www.leparisien.fr/laparisienne/actu-people/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Évasion";"http://www.leparisien.fr/laparisienne/voyages/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Portraits";"http://www.leparisien.fr/laparisienne/portrait/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Déco";"http://www.leparisien.fr/laparisienne/deco/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Cuisine";"http://www.leparisien.fr/laparisienne/cuisine/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Recettes de cuisine";"http://www.leparisien.fr/laparisienne/cuisine/recette-cuisine/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Recettes de cuisine pour enfants";"http://www.leparisien.fr/laparisienne/maman/recette-cuisine-enfant/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Maman";"http://www.leparisien.fr/laparisienne/maman/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - Société";"http://www.leparisien.fr/laparisienne/travail/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - A la Une";"http://videos.leparisien.fr/rss.xml#xtor=RSS-1481423633";"oui";"oui";"non";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Société";"http://videos.leparisien.fr/societe/rss-societe.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Faits Divers";"http://videos.leparisien.fr/faits-divers/rss-faits-divers.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"Leparisien.fr - Politique";"http://videos.leparisien.fr/politique/rss-politique.xml";"oui";"oui";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - La Parisienne";"http://videos.leparisien.fr/la-parisienne/rss-la-parisienne.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"oui";"non";"non";"non"
"Leparisien.fr - People";"http://videos.leparisien.fr/people/rss-people.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non"
"Leparisien.fr - Economie";"http://videos.leparisien.fr/economie/rss-economie.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - International";"http://videos.leparisien.fr/international/rss-international.xml";"oui";"oui";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Sciences & High-Tech";"http://videos.leparisien.fr/sciences-et-high-tech/rss-sciences-et-high-tech.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non"
"Leparisien.fr - Sport";"http://videos.leparisien.fr/sports/rss-sports.xml";"oui";"oui";"non";"non";"non";"non";"non";"non";"non";"non";"non";"non";"oui";"non";"non";"non";"non";"non";"non";"non"
